procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 555448  22404   2100 165000    0    0    32    16 1380 1131  0 57 43  0  0
 0  0 555448  28004   2100 165008    4    0     4     0 1543 1246  0 65 35  1  0
13  0 555448  31028   2100 165012    0    0     0     4 1490 1178  0 51 49  0  0
 1  0 555448  32872   2108 165016    0    0     0    60 1697 1261  1 57 42  0  0
 3  0 555448  31116   2108 165020    0    0     0     0 1464 1128  0 36 64  0  0
 0  0 555448  29932   2108 165020    0    0     0     0 1622 1119  0 35 65  0  0
 1  0 555448  26344   2108 165024    0    0     0    24 1661 1001  1 52 47  0  0
 0  0 555448  32492   2108 165028    0    0     0     0 1757 1165  0 42 58  0  0
 1  0 555448  31772   2116 165032    0    0     0    32 1656 1013  0 34 66  0  0
 0  0 555448  20312   2116 165036    0    0     0     0 1441  860  0 53 47  0  0
 2  0 555448  18804   2132 165516  120    0   600    40 1366 1082  0 51 48  1  0
 1  0 555448  18440   2132 165040    0  216     0   232 1172  751  0 52 48  0  0
 2  0 555448  17560   2132 165044    4    0     4     0 1137 1065  1 45 53  1  0
 1  0 555704  21268   2132 164560    0  192     0   196 1276 1122  0 47 53  0  0
 1  0 555704  22928   2132 164560    0    0     0     4 1405 1202  1 54 45  0  0
 4  0 555704  33432   2316 165104   24    0   728    92 1564 1301  1 55 44  1  0
12  0 555704  46580   2592 151356   32    0 22928    68 2186 1557  0 60 37  3  0
 3  0 555448  29156   3052 163100 1940  124 19772   240 3419 3265  2 75 13 10  0
 0  0 555448  32656   3052 163104    0    0     0     0 1069  671  0 23 77  0  0
 0  0 555448  33436   3052 163108    0    0     0     0 1267  707  1 27 72  0  0
 2  0 555448  31980   3052 163112    0    0     0     0 1364  750  0 33 67  0  0
 1  0 555448  18040   2768 164488   16    0  1895    24 1282  843  0 45 54  1  0
 0  0 555448  24048   2776 164492    0    0     0    44 1636  962  0 46 53  1  0
 0  0 555448  28132   2776 164492    0    0     0     0 1066  634  0 30 70  0  0
 1  0 555448  27704   2776 168204  204    0  2022     0 1386  901  0 28 70  2  0
 0  0 555192  22664   3504 169980  980  324  7625   324 2005 1948  1 56 34  8  0
 1  0 555448  28220   3500 164064   40  440    44   956 1698 1243  0 52 48  0  0
 2  0 555448  29616   3508 164068    8    0     8   112 1474  836  1 24 74  1  0
 1  0 555448  28608   3508 164072    0    0     0     0 1135  694  0 21 79  0  0
 1  0 555448  25532   3508 164072    0    0     0     0 1027  546  0 19 81  0  0
 3  0 555448  26488   3508 164076    0    0     0     0 1269  676  0 28 72  0  0
 0  0 555448  29708   3508 164080    0    0     0    20 1303  762  0 32 68  0  0
 0  0 555448  29376   3516 164084    0    0     0    32 1358  782  1 31 69  0  0
 0  0 555448  29600   3516 164088    0    0     0     0 1163  645  0 25 75  0  0
 0  0 555448  28872   3516 164092    0    0     0     0 1061  606  0 20 80  0  0
 1  0 555448  21064   3516 164096    0    0     0     0 1008  576  0 22 78  0  0
