procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 503532  14560   2516 144696    0    0     0     8  592  468  1  4 96  0  0
 0  0 503532  14364   2516 144696    0    0     0     0  527  401  0  3 97  0  0
 0  0 503532  15200   2516 144696    0    0     0     0  827  559  1  7 93  0  0
 0  0 503532  14852   2524 144688    0    0     0    28  352  340  0  1 99  0  0
 1  0 503532  15036   2524 144700    0    0     0     4  516  374  0  3 97  0  0
 2  0 503532  13924   2524 144700    0    0     0    12  763  521  0  7 93  0  0
 0  0 503276  12636   2524 145364 1428    0  1703     0 1481 1806  0 10 87  3  0
 1  0 503276  12164   2524 145364    0    0     0     0  515  402  1  3 97  0  0
 1  0 503276   9884   2532 145360    0    0     0    28  893  611  0 14 86  1  0
 1  0 503276  10068   2532 145368    0    0     0     4  792  436  0 12 88  0  0
 4  0 503276  11908   2532 145088    0    0     0     8  822  518  1 13 87  0  0
 1  0 503276  11272   2532 145092    0    0     0     0  645  447  0  5 95  0  0
 1  0 503276  13204   2532 145092    4    0     4     0  684  485  0  8 92  0  0
 0  0 503276  13636   2540 145084    4    0     4    28  917  550  0 14 86  0  0
 1  0 503276  12332   2540 145096    0    0     0     0  856  501  0 12 87  1  0
 0  0 503276  12628   2540 145096    0    0     0    16  546  397  0  5 95  0  0
 0  0 503276  11960   2540 145096    0    0     0     0  741  496  0 10 90  0  0
 0  0 503276  11620   2540 145096    0    0     0     0  927  581  0 11 89  0  0
 0  0 503276  12120   2540 145100    0    0     0     0  779  490  0  9 91  0  0
 1  0 503276   9828   2548 145100    0    0     0    28  695  515  0  5 95  0  0
 0  0 503276  13288   2548 145100    0    0     0     8  740  489  0 10 90  0  0
 0  0 503276  12672   2548 145100    0    0     0     4  672  439  0  7 93  0  0
 0  0 503276  12640   2548 145104    0    0     0     0  559  488  0  3 97  0  0
 0  0 503276  12280   2548 145104    0    0     0     0  609  489  0  5 95  0  0
 0  0 503276  13160   2556 145104    0    0     0    48  651  440  0  7 92  1  0
 1  0 503276  11148   2556 145108    0    0     0     0  889  614  0  9 91  0  0
 1  0 503276  12764   2556 145108    4    0     4    12  581  396  0  6 94  0  0
 0  0 503276  12844   2556 145108    0    0     0     4  486  357  0  4 96  0  0
 1  0 503276  12836   2556 145108    0    0     0     0  727  500  1  8 92  0  0
 1  0 503276  10620   2564 145112    0    0     0    28  764  518  0  8 92  0  0
